
input per-read per-base error rate? 
per-read per-base error rate e = 0.001
 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 2  0    -0.002   -1.386  -13.816   1.38  00   0.00000  0.25000
 2  1    -6.909   -1.386   -6.909   5.52  01   0.00200  0.50000
 2  2   -13.816   -1.386   -0.002   1.38  11   0.99800  0.25000

n =  2  GTcallerror (for GT 11, 01) =   0.001999   0.500000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 3  0    -0.003   -2.079  -20.723   2.08  00   0.00000  0.12500
 3  1    -6.910   -2.079  -13.817   4.83  01   0.00000  0.37500
 3  2   -13.817   -2.079   -6.910   4.83  01   0.00299  0.37500
 3  3   -20.723   -2.079   -0.003   2.08  11   0.99700  0.12500

n =  3  GTcallerror (for GT 11, 01) =   0.002997   0.250000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 4  0    -0.004   -2.773  -27.631   2.77  00   0.00000  0.06250
 4  1    -6.911   -2.773  -20.724   4.14  01   0.00000  0.25000
 4  2   -13.818   -2.773  -13.818  11.04  01   0.00001  0.37500
 4  3   -20.724   -2.773   -6.911   4.14  01   0.00399  0.25000
 4  4   -27.631   -2.773   -0.004   2.77  11   0.99601  0.06250

n =  4  GTcallerror (for GT 11, 01) =   0.003994   0.125000

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 5  0    -0.005   -3.466  -34.539   3.46  00   0.00000  0.03125
 5  1    -6.912   -3.466  -27.632   3.45  01   0.00000  0.15625
 5  2   -13.819   -3.466  -20.725  10.35  01   0.00000  0.31250
 5  3   -20.725   -3.466  -13.819  10.35  01   0.00001  0.31250
 5  4   -27.632   -3.466   -6.912   3.45  01   0.00498  0.15625
 5  5   -34.539   -3.466   -0.005   3.46  11   0.99501  0.03125

n =  5  GTcallerror (for GT 11, 01) =   0.004990   0.062500

 n  k     lnL00    lnL01    lnL11   dlnL  GT  pk0(GT11) pk1(GT01)
 6  0    -0.006   -4.159  -41.447   4.15  00   0.00000  0.01563
